Accession	Protein_name	Database
GBAK_RAT	Guanine nucleotide-binding protein g	UniprotKB
GBAZ_RAT	Guanine nucleotide-binding protein g	UniprotKB
GBI1_RAT	Guanine nucleotide-binding protein g	UniprotKB
GBI2_RAT	Guanine nucleotide-binding protein g	UniprotKB
GBQ_RAT	Guanine nucleotide-binding protein g, alpha subunit	UniprotKB
GDIC_RAT	Rab gdp dissociation inhibitor beta-2	UniprotKB
GR75_RAT	Stress-70 protein, mitochondrial precursor	UniprotKB
GR78_RAT	78 kda glucose-regulated protein precursor	UniprotKB
GTP_RAT	Glutathione s-transferase p	UniprotKB
HPL2_RAT	Hyaluronan and proteoglycan link protein 2 precursor	UniprotKB
HS71_RAT	Heat shock 70 kda protein 1/2	UniprotKB
HS72_RAT	Heat shock-related 70 kda protein 2	UniprotKB
HS9B_RAT	Heat shock protein hsp 90-beta	UniprotKB
K1CS_RAT	Keratin, type i cytoskeletal 19	UniprotKB
K1CU_RAT	Keratin, type i cytoskeletal 21	UniprotKB
KAPA_RAT	Camp-dependent protein kinase, alpha-catalytic subunit	UniprotKB
KC21_RAT	Casein kinase ii, alpha chain	UniprotKB
KCCA_RAT	Calcium/calmodulin-dependent protein kinase type ii alpha chain	UniprotKB
KCCB_RAT	Calcium/calmodulin-dependent protein kinase type ii beta chain	UniprotKB
KCCD_RAT	Calcium/calmodulin-dependent protein kinase type ii delta chain	UniprotKB
KCCG_RAT	Calcium/calmodulin-dependent protein kinase type ii gamma chain	UniprotKB
KF3C_RAT	Kinesin-like protein kif3c	UniprotKB
KPT1_RAT	Serine/threonine-protein kinase pctaire-1	UniprotKB
KPT3_RAT	Serine/threonine-protein kinase pctaire-3	UniprotKB
LAM1_RAT	Lamin b1	UniprotKB
LAMA_RAT	Lamin a	UniprotKB
LAMP_RAT	Limbic system-associated membrane protein precursor	UniprotKB
MAPA_RAT	Microtubule-associated protein 1a  [contains: map1 light chain lc2]	UniprotKB
MAPB_RAT	Microtubule-associated protein 1b  [contains: map1 light chain lc1]	UniprotKB
MPK1_RAT	Dual specificity mitogen-activated protein kinase kinase 1	UniprotKB
MPT1_RAT	Protein phosphatase 1 regulatory subunit 12a	UniprotKB
MY1B_RAT	Myosin ib	UniprotKB
MY1D_RAT	Myosin id	UniprotKB
MY1E_RAT	Myosin ie	UniprotKB
MYHA_RAT	Myosin heavy chain, nonmuscle type b	UniprotKB
MYHB_RAT	Myosin heavy chain, smooth muscle isoform	UniprotKB
NCA1_RAT	Neural cell adhesion molecule 1, 140 kda isoform precursor	UniprotKB
NEGR_RAT	Neuronal growth regulator 1 precursor	UniprotKB
NFAS_RAT	Neurofascin precursor	UniprotKB
NPL1_RAT	Nucleosome assembly protein 1-like 1	UniprotKB
NX3A_RAT	Neurexin 3-alpha precursor	UniprotKB
PAB1_RAT	Polyadenylate-binding protein 1	UniprotKB
PD6I_RAT	Programmed cell death 6 interacting protein	UniprotKB
PDA3_RAT	Protein disulfide-isomerase a3 precursor	UniprotKB
PDI_RAT	Protein-arginine deiminase type ii	UniprotKB
PDI2_RAT	Protein disulfide-isomerase precursor	UniprotKB
PDX2_RAT	Peroxiredoxin 2	UniprotKB
PE5R_RAT	Pex5-related protein	UniprotKB
PGCV_RAT	Versican core protein precursor	UniprotKB
PHS3_RAT	Glycogen phosphorylase, brain form	UniprotKB
PIB1_RAT	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta 1	UniprotKB
PIB3_RAT	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta 3	UniprotKB
PIB4_RAT	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta 4	UniprotKB
PLE1_RAT	Plectin 1	UniprotKB
POR1_RAT	Voltage-dependent anion-selective channel protein 1	UniprotKB
POR2_RAT	Voltage-dependent anion-selective channel protein 2	UniprotKB
POR3_RAT	Voltage-dependent anion-selective channel protein 3	UniprotKB
PRS6_RAT	26s protease regulatory subunit 6b	UniprotKB
RAPB_RAT	Ras-related protein rap-1b	UniprotKB
RSG3_RAT	Ras gtpase-activating protein 3	UniprotKB
SC10_RAT	Exocyst complex component sec10	UniprotKB
SEC5_RAT	Exocyst complex component sec5	UniprotKB
SEC8_RAT	Exocyst complex component sec8	UniprotKB
SEP7_RAT	Septin 7	UniprotKB
SFX3_RAT	Sideroflexin 3	UniprotKB
SH31_RAT	Sh3-containing grb2-like protein 1	UniprotKB
SM1A_RAT	Structural maintenance of chromosome 1-like 1 protein	UniprotKB
SNIP_RAT	P130cas-associated protein	UniprotKB
SPAK_RAT	Ste20/sps1-related proline-alanine rich protein kinase	UniprotKB
SPCN_RAT	Spectrin alpha chain, brain	UniprotKB
SPCP_RAT	Spectrin beta chain, brain 2	UniprotKB
TBA6_RAT	Tubulin alpha-6 chain	UniprotKB
TBB1_RAT	Tubulin beta chain	UniprotKB
TMO2_RAT	Neuronal tropomodulin	UniprotKB
TRM3_RAT	Tripartite motif-containing protein 3	UniprotKB
UCR2_RAT	Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor	UniprotKB
UNR_RAT	Unr protein	UniprotKB
NP_060705.1	CNDP dipeptidase 2	NCBI Refseq
AAA51141	Ig light chain (IGK-V8)	EST database
XP_355991	Polycythemia rubra vera-like # 2 (BC049730)	EST database
SPTA2_HUMAN	Spectrin alpha chain, brain	UniprotKB
A26CA_HUMAN	ANKRD26-like family C member 1A	UniprotKB
MRLC2_HUMAN	Myosin regulatory light chain MRLC2	UniprotKB
PLEC1_HUMAN	Plectin-1	UniprotKB
UBIQ_HUMAN	Ubiquitin	UniprotKB
GPSN2_HUMAN	Synaptic glycoprotein SC2	UniprotKB
CD45_HUMAN	Leukocyte common antigen	UniprotKB
CK059_HUMAN	UPF0404 protein C11orf59	UniprotKB
UAP56_HUMAN	Spliceosome RNA helicase BAT1	UniprotKB
M6PBP_HUMAN	Mannose-6-phosphate receptor-binding protein 1	UniprotKB
ARMS_HUMAN	Ankyrin repeat-rich membrane spanning protein	UniprotKB
CDC2_HUMAN	Cell division control protein 2 homolog	UniprotKB
HNRPG_HUMAN	Heterogeneous nuclear ribonucleoprotein G	UniprotKB
CT116_HUMAN	Uncharacterized protein C20orf116	UniprotKB
MK1I1_HUMAN	Mitogen-activated protein kinase kinase 1-interacting protein 1	UniprotKB
PTAD1_HUMAN	Protein tyrosine phosphatase-like protein PTPLAD1	UniprotKB
PYR5_HUMAN	Uridine 5'-monophosphate synthase	UniprotKB
CF190_HUMAN	Uncharacterized protein C6orf190	UniprotKB
KU70_HUMAN	ATP-dependent DNA helicase 2 subunit 1	UniprotKB
FRAP_HUMAN	FKBP12-rapamycin complex-associated protein	UniprotKB
TXND1_HUMAN	Thioredoxin domain-containing protein 1	UniprotKB
SFRS2_HUMAN	Splicing factor, arginine/serine-rich 2	UniprotKB
TTC35_HUMAN	Tetratricopeptide repeat protein 35	UniprotKB
BAT3_HUMAN	Large proline-rich protein BAT3	UniprotKB
STUB1_HUMAN	STIP1 homology and U box-containing protein 1	UniprotKB
KU86_HUMAN	ATP-dependent DNA helicase 2 subunit 2	UniprotKB
ARS2_HUMAN	Arsenite-resistance protein 2	UniprotKB
NHERF_HUMAN	Ezrin-radixin-moesin-binding phosphoprotein 50	UniprotKB
CENB1_HUMAN	Centaurin-beta-1	UniprotKB
SFRS7_HUMAN	Splicing factor, arginine/serine-rich 7	UniprotKB
PCTK1_HUMAN	Serine/threonine-protein kinase PCTAIRE-1	UniprotKB
SFRS3_HUMAN	Splicing factor, arginine/serine-rich 3	UniprotKB
PSD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7	UniprotKB
K0776_HUMAN	UPF0555 protein KIAA0776	UniprotKB
CROP_HUMAN	Cisplatin resistance-associated overexpressed protein	UniprotKB
CL005_HUMAN	Uncharacterized protein C12orf5	UniprotKB
K0152_HUMAN	Uncharacterized protein KIAA0152	UniprotKB
ARSA1_HUMAN	Arsenical pump-driving ATPase	UniprotKB
IF3EI_HUMAN	Eukaryotic translation initiation factor 3 subunit E-interacting protein	UniprotKB
CH055_HUMAN	UPF0670 protein C8orf55	UniprotKB
CSTP1_HUMAN	Uncharacterized metallophosphoesterase CSTP1	UniprotKB
MOL1A_HUMAN	Mps one binder kinase activator-like 1A	UniprotKB
SFRS1_HUMAN	Splicing factor, arginine/serine-rich 1	UniprotKB
TXD14_HUMAN	Thioredoxin domain-containing protein 14	UniprotKB
CA057_HUMAN	Probable UPF0334 kinase-like protein C1orf57	UniprotKB
K0391_HUMAN	Uncharacterized protein KIAA0391	UniprotKB
LASS2_HUMAN	LAG1 longevity assurance homolog 2	UniprotKB
PRODL_HUMAN	Putative proline oxidase-like protein	UniprotKB
K0406_HUMAN	Uncharacterized protein KIAA0406	UniprotKB
MRLC3_HUMAN	Myosin regulatory light chain MRLC3	UniprotKB
RA1L3_HUMAN	Putative heterogeneous nuclear ribonucleoprotein A1-like protein 3	UniprotKB
SELI_HUMAN	Ethanolaminephosphotransferase 1	UniprotKB
TM111_HUMAN	Transmembrane protein 111	UniprotKB
K0090_HUMAN	Uncharacterized protein KIAA0090	UniprotKB
HMGLX_HUMAN	High mobility group protein 1-like 10	UniprotKB
SEH1L_HUMAN	Nucleoporin SEH1-like	UniprotKB
AL2S4_HUMAN	Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 4 protein	UniprotKB
SSB_HUMAN	Single-stranded DNA-binding protein, mitochondrial	UniprotKB
MAPIP_HUMAN	Mitogen-activated protein-binding protein-interacting protein	UniprotKB
SCPDH_HUMAN	Probable saccharopine dehydrogenase	UniprotKB
CCD56_HUMAN	Coiled-coil domain-containing protein 56	UniprotKB
IF2BL_HUMAN	Eukaryotic translation initiation factor 2 subunit 2-like protein	UniprotKB
GP89C_HUMAN	Putative protein GPR89C	UniprotKB
TMM32_HUMAN	Transmembrane protein 32	UniprotKB
CV028_HUMAN	UPF0027 protein C22orf28	UniprotKB
COPG_HUMAN	Coatomer subunit gamma	UniprotKB
OBTP_HUMAN	Overexpressed breast tumor protein	UniprotKB
CX4NB_HUMAN	Neighbor of COX4	UniprotKB
H3L_HUMAN	Histone H3-like	UniprotKB
IMA2_HUMAN	Importin subunit alpha-2	UniprotKB
TMM85_HUMAN	Transmembrane protein 85	UniprotKB
BA2D1_HUMAN	BAT2 domain-containing protein 1	UniprotKB
CS063_HUMAN	UPF0510 protein C19orf63	UniprotKB
NAG_HUMAN	Neuroblastoma-amplified gene protein	UniprotKB
UN84B_HUMAN	Protein unc-84 homolog B	UniprotKB
BZW1L_HUMAN	Putative basic leucine zipper and W2 domain-containing protein 1-like 1	UniprotKB
SFR11_HUMAN	Splicing factor, arginine/serine-rich 11	UniprotKB
K1033_HUMAN	Uncharacterized protein KIAA1033	UniprotKB
CC90A_HUMAN	Coiled-coil domain-containing protein 90A, mitochondrial	UniprotKB
MTP18_HUMAN	Mitochondrial 18 kDa protein	UniprotKB
YS018_HUMAN	Probable Ras GTPase-activating protein FLJ21438	UniprotKB
BR44_HUMAN	Brain protein 44	UniprotKB
MLL2_HUMAN	Histone-lysine N-methyltransferase MLL2	UniprotKB
HSP90B	HSP90B	UniprotKB
V-ATP-A	V-ATP-A	UniprotKB
V-ATP-B2	V-ATP-B2	UniprotKB
14-3-3 protein	14-3-3 protein	UniprotKB
gi|56205610	Novel protein	NCBInr
KU70_HUMAN	ATP-dependent DNA helicase 2 subunit 1	NCBInr
MLE3_HUMAN	Myosin regulatory light chain MRCL3 variant	NCBInr
UQCR2_HUMAN	Ubiquinol-cytochrome-c reductase complex core protein 2	NCBInr
Q6WG75_HUMAN	Antigen MLAA-21, U937-associated antigen, KIAA0100,BCOX	NCBInr
110735072	gi|110735072 (tricellulin isoform c)	NCBInr
HTAI2	Tat-interacting protein TIP30	NCBInr
Q5JP53_HUMAN	Tubulin, beta polypeptide	NCBInr
6978549	ATPase, Na+/K+ transporting, beta 1 polypeptide	NCBInr
6978579	Calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	NCBInr
6981182	Microtubule-associated protein 2	NCBInr
6981452	RAB3A, member RAS oncogene family	NCBInr
6981708	Visinin-like 1	NCBInr
8394124	RAB10, member RAS oncogene family	NCBInr
8394286	Solute carrier family 1 (glial high affinity glutamate transporter), member 2	NCBInr
8394535	Vanilloid receptor-like protein 1	NCBInr
8850211	Adducin 1 (alpha)	NCBInr
9506891	Solute carrier family 3, member 2	NCBInr
11024643	5 nucleotidase	NCBInr
11067407	Erythrocyte protein band 4.1-like 1 isoform L	NCBInr
11067429	Synaptopodin	NCBInr
11120682	Calcium/calmodulin-dependent protein kinase II beta subunit	NCBInr
12018296	Septin 7	NCBInr
12083645	RAB5A, member RAS oncogene family	NCBInr
12083663	Flotillin 1	NCBInr
13487931	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	NCBInr
13540714	Plectin 1	NCBInr
13591874	Guanine nucleotide-binding protein, beta-1  subunit	NCBInr
13591908	Adaptor protein complex AP-2, alpha 2 subunit	NCBInr
13928826	ATPase, H+ transporting, lysosomal (vacuolar proton pump) noncat	NCBInr
13928870	Vesicle-associated membrane protein, associated protein a	NCBInr
13929054	SH3 and multiple ankyrin repeat domains 1  (SAPAP-interacting protein synamon)	NCBInr
13929094	Guanine deaminase	NCBInr
15147226	Glutamate receptor, ionotropic, AMPA3 (alpha 3)	NCBInr
16758566	Rap2A-like protein	NCBInr
16758774	Discs large-associated protein 2  (DLGAP1, GKAP)	NCBInr
16758808	Erythrocyte protein band 4.1-like 3	NCBInr
16758814	Septin 5	NCBInr
16758968	Neurochondrin	NCBInr
19705445	Neuroligin 3	NCBInr
20302073	Cadherin 13	NCBInr
20806141	Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	NCBInr
27465607	Discs, large (Drosophila) homolog-associated protein 3	NCBInr
27683409	Di-Ras2	NCBInr
27685547	Rab18	NCBInr
27687387	Rab18	NCBInr
27687455	Actin, beta-like 2	NCBInr
27695749	Glyceraldehyde-3-phosphate dehydrogenase	NCBInr
27702072	NADH-ubiquinone oxidoreductase 30 kDa subunit, mitochondrial precursor (Complex I-30KD) (CI-30KD)	NCBInr
27704714	Ganglioside-induced differentiation-associated protein 1-like 1	NCBInr
29789369	Protein tyrosine phosphatase, receptor type, G	NCBInr
30842811	Synaptic Ras GTPase activating protein 1 homolog	NCBInr
31542335	Calcium channel, voltage-dependent, alpha2/delta subunit 1	NCBInr
33667077	O linked N-acetylglucosamine transferase	NCBInr
34852279	Mtch1 protein	NCBInr
34853415	WASP family 1	NCBInr
34853474	Microtubule-associated protein 1b	NCBInr
34854665	Calcium channel beta 4 subunit	NCBInr
34854800	Solute carrier family 25 (mitochondrial carrier, Aralar), member 12	NCBInr
34855171	Solute carrier family 25 (mitochondrial carrier, Aralar), member 12	NCBInr
34855229	Zinedin (similar to striatin-4)	NCBInr
34856405	Coiled-coil-helix-coiled-coil-helix domain containing 6	NCBInr
34857303	Rab33B	NCBInr
34860125	G-protein alpha-t2 subunit	NCBInr
34861151	Protein tyrosine phosphatase, receptor type, epsilon polypeptide	NCBInr
34861235	BM88 antigen	NCBInr
34863356	Dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)	NCBInr
34864232	Protein kinase, cAMP dependent regulatory, type II beta	NCBInr
34866853	Cytochrome c-1	NCBInr
34869154	ATPase, H+ transporting, V1 subunit A, isoform 1	NCBInr
34875329	Tubulin, beta	NCBInr
34879021	SPFH domain family, member 2	NCBInr
34879586	Glucokinase activity, related sequence 1	NCBInr
34879653	Pyruvate dehydrogenase	NCBInr
34932101	Tubulin, beta 6	NCBInr
34933197	Monoamine oxidase	NCBInr
46391108	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10	NCBInr
54633307	RN protein	NCBInr
55741424	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	NCBInr
55742725	Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	NCBInr
55742755	Catenin (cadherin-associated protein), alpha 1, 102kDa	NCBInr
55926139	Alpha isoform of regulatory subunit A, protein phosphatase 2	NCBInr
56605654	Metaxin 2 (predicted)	NCBInr
56605840	RAS-related C3 botulinum substrate 2	NCBInr
56606108	NADH dehydrogenase (ubiquinone) Fe-S protein 7 (predicted)	NCBInr
56799439	Oligodendrocyte-myelin glycoprotein	NCBInr
58615680	Cytochrome c oxidase subunit II	NCBInr
62638420	Exocyst complex component Sec6 (rSec6)	NCBInr
62638478	Nesprin 1 (nuclear envelope spectrin repeat protein 1)	NCBInr
62638498	Regulator of G-protein signaling 17 (RGS17) (Regulator of Gz-selective protein signaling 2)	NCBInr
62638530	Fibronectin type III domain-containing protein 1	NCBInr
62639279	Alpha actinin 4	NCBInr
62639687	Adapter-related protein complex 2 alpha 1 subunit	NCBInr
62639733	PTPRF interacting protein alpha 3	NCBInr
62639880	Opioid binding protein/cell adhesion molecule-like	NCBInr
62640683	Homer homolog 2	NCBInr
62640871	Microtubule-associated protein 6	NCBInr
62641022	RAB6B, member RAS oncogene family	NCBInr
62641274	Tu translation elongation factor, mitochondrial	NCBInr
62642040	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	NCBInr
62642333	Cartilage acidic protein 1	NCBInr
62642537	Heat shock 70kDa protein 12A	NCBInr
62642967	Eukaryotic translation elongation factor 1 alpha 1	NCBInr
62643190	Catenin (cadherin-associated protein), delta 2	NCBInr
62643317	G-protein beta 4	NCBInr
62643375	PDZ domain containing 6	NCBInr
62643403	OL-protocadherin isoform	NCBInr
62643674	Doublecortin kinase 2	NCBInr
62643864	Tudor and KH domain containing protein	NCBInr
62644141	Moloney leukemia virus 10	NCBInr
62644209	Netrin G1	NCBInr
62644310	Ankyrin 2 isoform 2	NCBInr
62644475	Heat shock protein 8	NCBInr
62644959	Ribosomal protein L12 (60S)	NCBInr
62645079	Kinesin heavy chain isoform 5C	NCBInr
62645133	Plakophilin 4	NCBInr
62645235	cAMP-regulated guanine nucleotide  exchange factor II	NCBInr
62645311	SEC14 and spectrin domains 1	NCBInr
62645331	NCK-associated protein 1	NCBInr
62645364	Actin, cytoplasmic 2 (gamma-actin)	NCBInr
62645378	Mitochondrial carrier homolog 2	NCBInr
62645478	G2	NCBInr
62645519	Adenine nucleotide translocase	NCBInr
62645777	Prion protein	NCBInr
62646089	Hypothetical protein A630008I04	NCBInr
62646652	MR1-interacting protein	NCBInr
62646841	Citrin  (similar to solute 25, member 13)	NCBInr
62646895	Cortactin-binding protein 2	NCBInr
62646993	Coiled-coil-helix-coiled-coil-helix domain containing 3	NCBInr
62647158	V-raf murine sarcoma viral oncogene homolog B1	NCBInr
62647240	PALS2-alpha splice variant	NCBInr
62647466	Mitochondrial inner membrane protein (Mitofilin)	NCBInr
62647644	Alpha-2 catenin (alpha-catenin related protein) (alpha N-catenin)	NCBInr
62647774	T-complex protein 1, alpha subunit (TCP-1-alpha) (CCT-alpha)	NCBInr
62647962	Triosephosphate isomerase 1	NCBInr
62647964	Glyceraldehyde-3-phosphate dehydrogenase	NCBInr
62648173	Tubulin alpha-3 chain (alpha-tubulin 3)	NCBInr
62648483	Tubulin alpha-8 chain (alpha-tubulin 8)	NCBInr
62648567	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	NCBInr
62649014	Erythrocyte membrane protein band 4.1 like 4B	NCBInr
62649521	Glutamate receptor, ionotropic, kainate 3	NCBInr
62649934	Hypothetical protein	NCBInr
62649938	Succinate dehydrogenase Ip subunit	NCBInr
62650076	Dnajc11 protein	NCBInr
62650126	Ribosomal protein L14	NCBInr
62650170	TOB3	NCBInr
62650227	Striatin, calmodulin binding protein	NCBInr
62650299	ATPase, H+ transporting, V1 subunit E-like 2 isoform 2	NCBInr
62650478	Alcohol dehydrogenase PAN2	NCBInr
62650690	Cofilin	NCBInr
62650755	Voltage-dependent anion channel 1	NCBInr
62650889	RAB15, member RAS onocogene family	NCBInr
62651269	CD40 receptor associated factor 1	NCBInr
62651281	Kinesin 2 60/70kDa	NCBInr
62651413	Rap guanine nucleotide exchange factor 5 (Guanine nucleotide exchange factor for Rap1) (M-Ras-regulated Rap GEF) (MR-GEF)	NCBInr
62651579	Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	NCBInr
62651615	Basigin  (isomerase)	NCBInr
62652008	Cajalin 2 isoform a	NCBInr
62652084	PTPRF interacting protein alpha 2	NCBInr
62652090	Synaptotagmin 1	NCBInr
62652257	Nuclear GTPase PIKE	NCBInr
62652340	ATPase, H+ transporting, V1 subunit C, isoform 1 (predicted)	NCBInr
62652442	Solute carrier family 25, member 5	NCBInr
62652602	Lymphocyte antigen 6H	NCBInr
62652621	Pyrroline-5-carboxylate reductase-like (predicted)	NCBInr
62653035	Tubulin alpha-2 chain (alpha-tubulin 2)	NCBInr
62653297	Olfactomedin 2	NCBInr
62653747	MsemK1p	NCBInr
62653910	Myosin Vc (myosin 5C)	NCBInr
62655286	Chromosome 2 open reading frame 33	NCBInr
62655579	Myh11 protein	NCBInr
62655800	Polyubiquitin	NCBInr
62656070	Septin 8	NCBInr
62657131	Glial fibrillary acidic protein	NCBInr
62657310	Solute carrier family 25, member 5	NCBInr
62658217	Kelchl protein	NCBInr
62658316	Trafficking protein particle complex 5	NCBInr
62658813	RIM-binding protein 2	NCBInr
62658824	Transmembrane protein 132B	NCBInr
62658989	Citron	NCBInr
62658991	RAB35, member RAS oncogene family	NCBInr
62659052	Tumor-rejection antigen SART3	NCBInr
62659235	ARP3 actin-related protein 3 homolog	NCBInr
62659301	Plasma membrane calcium ATPase 4	NCBInr
62659355	ADP-ribosylation factor-like 10B	NCBInr
62659397	Kinesin family member 14	NCBInr
62659647	Chromosome 1 open reading frame 32	NCBInr
62659722	NADH dehydrogenase (ubiquinone) Fe-S protein 2	NCBInr
62659768	Immunoglobulin superfamily, member 4B	NCBInr
62660202	SEPT11 protein	NCBInr
62660415	GABA receptor alpha-2 subunit precursor (GABA(A) receptor)	NCBInr
62660423	Potassium channel tetramerisation domain containing 8	NCBInr
62660430	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1	NCBInr
62660772	Oxoglutarate dehydrogenase (lipoamide)	NCBInr
62660777	Purine rich element binding protein B	NCBInr
62660833	Chromosome 2 open reading frame 32	NCBInr
62660952	Spectrin beta 2	NCBInr
62661347	Ras-related protein Rab-2B	NCBInr
62661657	Collapsin response mediator protein-2A	NCBInr
62661814	Predominantly fetal expressed T1 domain	NCBInr
62662656	Ectonucleotide pyrophosphatase/phosphodiesterase 6	NCBInr
62663266	Sideroflexin 1 (predicted)	NCBInr
62663465	Tubulin, beta 2	NCBInr
62663741	Actinin alpha 2	NCBInr
62663767	WD repeat domain 37	NCBInr
62664205	Grp75  (heat shock 70 kD protein)	NCBInr
62664322	Potassium channel tetramerisation domain containing 16	NCBInr
62664715	Neuropilin- and tolloid-like protein 1	NCBInr
62664759	Prohibitin	NCBInr
62665162	ATPase, H+ transporting, V0 subunit D isoform 1 (predicted)	NCBInr
62665407	Spermatogenesis associated 2-like	NCBInr
62666067	Importin alpha-6 subunit (Karyopherin alpha-5 subunit)	NCBInr
62666453	NF-kappa-B-repressing factor (NFKB-repressing factor) (Transcription factor NRF)	NCBInr
IPI00019770	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30	International Protein Index (IPI)
IPI00005537	39S ribosomal protein L12, mitochondrial precursor	International Protein Index (IPI)
IPI00414410	39S ribosomal protein L22, mitochondrial precursor	International Protein Index (IPI)
IPI00847579	40S ribosomal protein S12	International Protein Index (IPI)
IPI00383751	CALRETICULIN=CALCIUM binding protein	International Protein Index (IPI)
IPI00444262	CDNA FLJ45706 fis, clone FEBRA2028457, highly similar to Nucleolin	International Protein Index (IPI)
IPI00216085	Cytochrome c oxidase subunit VIb isoform 1	International Protein Index (IPI)
IPI00470535	Dihydropyridine receptor alpha 2 subunit	International Protein Index (IPI)
IPI00328748	Similar to arginine-rich protein; arginine-rich, mutated in early stage tumors	International Protein Index (IPI)
IPI00398135	Hypothetical protein XP_017831	International Protein Index (IPI)
IPI00399212	Hypothetical protein XP_018400	International Protein Index (IPI)
IPI00440693	Hypothetical protein XP_053304	International Protein Index (IPI)
IPI00759493	Succinate-CoA ligase, GDP-forming, alpha subunit	International Protein Index (IPI)
IPI00219685	Hypothetical protein XP_048487	International Protein Index (IPI)
IPI00173589	Similar to 60S RIBOSOMAL PROTEIN L29 (CELL SURFACE HEPARIN BINDING PROTEIN HIP)	International Protein Index (IPI)
IPI00052885	Similar to 60S ribosomal protein L29 (Cell surface heparin binding protein HIP)	International Protein Index (IPI)
IPI00413108	Potential lamimin-binding protein (AA 1 - 300)	International Protein Index (IPI)
IPI00746851	Integrin beta chain, beta 2 variant	International Protein Index (IPI)
IPI00103356	INTEGRIN-LIKE PROTEIN	International Protein Index (IPI)
IPI00028031	Isoform 1 of Very-long-chain specific acyl-CoA dehydrogenase	International Protein Index (IPI)
IPI00783208	Similar to Collagen alpha 1	International Protein Index (IPI)
IPI00384051	PSME2 Uncharacterized protein PSME2	International Protein Index (IPI)
IPI00014835	Mitochondrial ribosomal protein S9	International Protein Index (IPI)
IPI00183526	NCL protein	International Protein Index (IPI)
IPI00472058	Neuronal protein	International Protein Index (IPI)
IPI00186712	OTTHUMP00000018641	International Protein Index (IPI)
IPI00026570	OTTHUMP00000039331	International Protein Index (IPI)
IPI00166768	pep:known chromosome:NCBI36:12:47945087:47953383:1 gene:ENSG00000167553 transcript:ENST00000321665	International Protein Index (IPI)
IPI00384122	pep:known chromosome:NCBI36:14:74418372:74440196:1 gene:ENSG00000119689 transcript:ENST00000334212	International Protein Index (IPI)
IPI00744706	pep:known chromosome:NCBI36:9:130354696:130435759:1 gene:ENSG00000197694 transcript:ENST00000372719	International Protein Index (IPI)
IPI00140827	PREDICTED: similar to SMT3 suppressor of mif two 3 homolog 2	International Protein Index (IPI)
IPI00014718	RcDNAJ9	International Protein Index (IPI)
IPI00062151	Similar to 60S ribosomal protein L15	International Protein Index (IPI)
IPI00020984	cDNA FLJ55574, highly similar to Calnexin	International Protein Index (IPI)
IPI00000875	cDNA FLJ56389, highly similar to Elongation factor 1-gamma	International Protein Index (IPI)
IPI00022002	cDNA FLJ54536, highly similar to Mitochondrial 28S ribosomal protein S27	International Protein Index (IPI)
IPI00604664	cDNA FLJ55978, highly similar to NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	International Protein Index (IPI)
IPI00301579	cDNA FLJ59142, highly similar to Epididymal secretory protein E1	International Protein Index (IPI)
IPI00550882	cDNA FLJ56298, highly similar to Pyrroline-5-carboxylate reductase 1	International Protein Index (IPI)
IPI00171412	Sulfatase modifying factor 2 isoform b precursor	International Protein Index (IPI)
IPI00419266	NDUFA6 protein	International Protein Index (IPI)
IPI00465028	Triosephosphate isomerase 1 variant	International Protein Index (IPI)
IPI00011654	Tubulin, beta	International Protein Index (IPI)
IPI00009943	Tumor protein, translationally-controlled 1	International Protein Index (IPI)
IPI00005589	Uncharacterized protein ENSP00000275524	International Protein Index (IPI)
IPI00397611	Uncharacterized protein ENSP00000346623	International Protein Index (IPI)
IPI00453476	Uncharacterized protein ENSP00000348237	International Protein Index (IPI)
IPI00176574	Uncharacterized protein ENSP00000351550	International Protein Index (IPI)
IPI00374260	Uncharacterized protein ENSP00000369737	International Protein Index (IPI)
AI089291	mRNA EST 563bp	UniProt; dbEST
GP:AB061820_1	GP:AB061820_1	EMBL/PIR
GP:BC001123_1	GP:BC001123_1	EMBL/PIR
GP:AF064093_1	GP:AF064093_1	EMBL/PIR
