Accession	Gene_name	Protein_name
P61089	Ube2n;Blu	Ubiquitin-conjugating enzyme E2 N
P61107	Rab14	Ras-related protein Rab-14
P61161	Actr2;Arp2	Actin-related protein 2
P61164	Actr1a;Ctrn1	Alpha-centractin
P61211	Arl1	ADP-ribosylation factor-like protein 1
P61221	ABCE1;RLI;RNASEL1;RNASELI;RNS4I;OK/SW-cl.40	ATP-binding cassette sub-family E member 1
P61222	Abce1;Rli	ATP-binding cassette sub-family E member 1
P61226	Rap2b	Ras-related protein Rap-2b
P61255	Rpl26	60S ribosomal protein L26
P61264	Stx1b;Stx1b1;Stx1b2	Syntaxin-1B
P61358	Rpl27	60S ribosomal protein L27
P61421	ATP6V0D1;ATP6D;VPATPD	V-type proton ATPase subunit d 1
P61514	Rpl37a	60S ribosomal protein L37a
P61620	Sec61a1;Sec61a	Protein transport protein Sec61 subunit alpha isoform 1
P61750	Arf4	ADP-ribosylation factor 4
P61804	Dad1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
P61922	Abat;Gabat	4-aminobutyrate aminotransferase, mitochondrial
P61924	Copz1;Copz	Coatomer subunit zeta-1
P61979-2	Hnrnpk	Isoform 2 of Heterogeneous nuclear ribonucleoprotein K
P61979-3	Hnrnpk	Isoform 3 of Heterogeneous nuclear ribonucleoprotein K
P61982	Ywhag	14-3-3 protein gamma
P62071	Rras2	Ras-related protein R-Ras2
P62073	Timm10;Tim10	Mitochondrial import inner membrane translocase subunit Tim10
P62075	Timm13;Tim13a;Timm13a	Mitochondrial import inner membrane translocase subunit Tim13
P62077	Timm8b;Ddp2;Tim8b	Mitochondrial import inner membrane translocase subunit Tim8 B
P62082	Rps7	40S ribosomal protein S7
P62141	Ppp1cb	Serine/threonine-protein phosphatase PP1-beta catalytic subunit
P62192	Psmc1	26S protease regulatory subunit 4
P62204	Calm1;Calm;Cam;Cam1;Calm2;Cam2;Camb;Calm3;Cam3;Camc	Calmodulin
P62242	Rps8	40S ribosomal protein S8
P62259	Ywhae	14-3-3 protein epsilon
P62264	Rps14	40S ribosomal protein S14
P62267	Rps23	40S ribosomal protein S23
P62270	Rps18	40S ribosomal protein S18
P62281	Rps11	40S ribosomal protein S11
P62307	Snrpf	Small nuclear ribonucleoprotein F
P62309	Snrpg	Small nuclear ribonucleoprotein G
P62315	Snrpd1	Small nuclear ribonucleoprotein Sm D1
P62317	Snrpd2	Small nuclear ribonucleoprotein Sm D2
P62320	Snrpd3	Small nuclear ribonucleoprotein Sm D3
P62322	Lsm5	U6 snRNA-associated Sm-like protein LSm5
P62331	Arf6	ADP-ribosylation factor 6
P62482	Kcnab2;Ckbeta2;I2rf5;Kcnb3	Voltage-gated potassium channel subunit beta-2
P62492	Rab11a;Rab11	Ras-related protein Rab-11A
P62627	Dynlrb1;Dncl2a;Dnlc2a	Dynein light chain roadblock-type 1
P62629	EEF1A1;EEF1A	Elongation factor 1-alpha 1
P62631	Eef1a2;Eef1al;Stn	Elongation factor 1-alpha 2
P62702	Rps4x;Rps4	40S ribosomal protein S4, X isoform
P62746	Rhob;Arhb	Rho-related GTP-binding protein RhoB
P62748	Hpcal1	Hippocalcin-like protein 1
P62761	Vsnl1;Visl1	Visinin-like protein 1
P62774	Mtpn;Gcdp	Myotrophin
P62806	Hist1h4a;Hist1h4b;H4-53;Hist1h4c	Histone H4
P62814	Atp6v1b2;Atp6b2;Vat2	V-type proton ATPase subunit B, brain isoform
P62821	Rab1A;Rab1	Ras-related protein Rab-1A
P62827	Ran;Rasl2-8	GTP-binding nuclear protein Ran
P62830	Rpl23	60S ribosomal protein L23
P62835	Rap1a;Krev-1	Ras-related protein Rap-1A
P62843	Rps15;Rig	40S ribosomal protein S15
P62849-2	Rps24	Isoform 2 of 40S ribosomal protein S24
P62858	Rps28	40S ribosomal protein S28
P62862	Fau	40S ribosomal protein S30
P62869	Tceb2	Transcription elongation factor B polypeptide 2
P62874	Gnb1	Guanine nucleotide-binding protein G
P62880	Gnb2	Guanine nucleotide-binding protein G
P62889	Rpl30	60S ribosomal protein L30
P62897	Cycs	Cytochrome c, somatic
P62908	Rps3	40S ribosomal protein S3
P62918	Rpl8	60S ribosomal protein L8
P62960	Ybx1;Msy-1;Msy1;Nsep1;Yb1	Nuclease-sensitive element-binding protein 1
P62962	Pfn1	Profilin-1
P62977	NA	Ubiquitin-40S ribosomal protein S27a
P62996-2	Tra2b	Isoform 2 of Transformer-2 protein homolog beta
P63001	Rac1	Ras-related C3 botulinum toxin substrate 1
P63011	Rab3a	Ras-related protein Rab-3A
P63017	Hspa8;Hsc70;Hsc73	Heat shock cognate 71 kDa protein
P63024	Vamp3;Syb3	Vesicle-associated membrane protein 3
P63028	Tpt1;Trt	Translationally-controlled tumor protein
P63037	Dnaja1;Dnaj2;Hsj2;Hspf4	DnaJ homolog subfamily A member 1
P63038	Hspd1;Hsp60	60 kDa heat shock protein, mitochondrial
P63038-1	Hspd1 	60 kDa heat shock protein, mitochondrial
P63038-2	Hspd1	Isoform 2 of 60 kDa heat shock protein, mitochondrial
P63039	Hspd1;Hsp60	60 kDa heat shock protein, mitochondrial
P63044	Vamp2;Syb2	Vesicle-associated membrane protein 2
P63082	Atp6v0c;Atp6c;Atp6l;Atpl;Mvp	V-type proton ATPase 16 kDa proteolipid subunit
P63094	Gnas;Gnas1;MNCb-5546	Guanine nucleotide-binding protein G
P63094-1	Gnas 	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
P63094-3	Gnas	Isoform Gnas-3 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
P63101	Ywhaz	14-3-3 protein zeta/delta
P63104	YWHAZ	14-3-3 protein zeta/delta
P63141	Kcna2	Potassium voltage-gated channel subfamily A member 2
P63209	SKP1;OCP2;SKP1A	S-phase kinase-associated protein 1
P63213	Gng2	Guanine nucleotide-binding protein G
P63242	Eif5a	Eukaryotic translation initiation factor 5A-1
P63248	Pkia	cAMP-dependent protein kinase inhibitor alpha
P63260	Actg1;Actg	Actin, cytoplasmic 2
P63268	Actg2;Acta3;Actsg	Actin, gamma-enteric smooth muscle
P63276	Rps17	40S ribosomal protein S17
P63321	Rala;Ral;Ral-a	Ras-related protein Ral-A
P63325	Rps10	40S ribosomal protein S10
P63328	Ppp3ca;Calna	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform
P63330	Ppp2ca	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
P67778	Phb	Prohibitin
P67871	Csnk2b;Ck2n	Casein kinase II subunit beta
P67984	Rpl22	60S ribosomal protein L22
P68033	Actc1;Actc	Actin, alpha cardiac muscle 1
P68040	Gnb2l1;Gnb2-rs1	Guanine nucleotide-binding protein subunit beta-2-like 1
P68104	EEF1A1;EEF1A;EF1A;LENG7	Elongation factor 1-alpha 1
P68134	Acta1;Acta	Actin, alpha skeletal muscle
P68181	Prkacb;Pkacb	cAMP-dependent protein kinase catalytic subunit beta
P68254	Ywhaq	14-3-3 protein theta
P68254-2	Ywhaq	Isoform 2 of 14-3-3 protein theta
P68361	TUBA1B;TUBA1	Tubulin alpha-1B chain
P68368	Tuba4a;Tuba4	Tubulin alpha-4A chain
P68369	Tuba1a;Tuba1	Tubulin alpha-1A chain
P68372	Tubb4b;Tubb2c	Tubulin beta-4B chain
P68373	Tuba1c;Tuba6	Tubulin alpha-1C chain
P68400	CSNK2A1;CK2A1	Casein kinase II subunit alpha
P68404	Prkcb;Pkcb;Prkcb1	Protein kinase C beta type
P68510	Ywhah	14-3-3 protein eta
P69744	Trpv5	Transient receptor potential cation channel subfamily V member 5
P69893	TUBB5;TUBB	Tubulin beta-5 chain
P70168	Kpnb1;Impnb	Importin subunit beta-1
P70195	Psmb7;Mmc14	Proteasome subunit beta type-7
P70202	Lxn	Latexin
P70227	Itpr3	Inositol 1,4,5-trisphosphate receptor type 3
P70245	Ebp;Msi	3-beta-hydroxysteroid-Delta
P70280	Vamp7;Sybl1	Vesicle-associated membrane protein 7
P70296	Pebp1;Pbp;Pebp	Phosphatidylethanolamine-binding protein 1
P70333	Hnrnph2;Hnrph2	Heterogeneous nuclear ribonucleoprotein H2
P70335-2	Rock1	Isoform 2 of Rho-associated protein kinase 1
P70349	Hint1;Hint;Pkci;Pkci1;Prkcnh1	Histidine triad nucleotide-binding protein 1
P70372	Elavl1;Elra;Hua	ELAV-like protein 1
P70392	Rasgrf2;Grf2	Ras-specific guanine nucleotide-releasing factor 2
P70451-2	Fer	Isoform 2 of Tyrosine-protein kinase Fer
P70452	Stx4;Stx4a	Syntaxin-4
P70565	Jup	Plakoglobin
P70568	NA	Fragile X mental retardation protein 1 homolog
P70625	ZO-2	Zonula occludens 2 protein
P70670	Naca;Gm1878	Nascent polypeptide-associated complex subunit alpha, muscle-specific form
P80236	RAC1	Ras-related C3 botulinum toxin substrate 1
P80313	Cct7;Ccth	T-complex protein 1 subunit eta
P80314	Cct2;Cctb	T-complex protein 1 subunit beta
P80315	Cct4;Cctd	T-complex protein 1 subunit delta
P80316	Cct5;Ccte;Kiaa0098	T-complex protein 1 subunit epsilon
P80317	Cct6a;Cct6;Cctz;Cctz1	T-complex protein 1 subunit zeta
P80318	Cct3;Cctg	T-complex protein 1 subunit gamma
P81155	Vdac2	Voltage-dependent anion-selective channel protein 2
P83093	Stim2;Kiaa1482	Stromal interaction molecule 2
P83870	Phf5a	PHD finger-like domain-containing protein 5A
P83940	Tceb1	Transcription elongation factor B polypeptide 1
P84075	Hpca	Neuron-specific calcium-binding protein hippocalcin
P84077	ARF1	ADP-ribosylation factor 1
P84078	Arf1	ADP-ribosylation factor 1
P84079	Arf1	ADP-ribosylation factor 1
P84084	Arf5	ADP-ribosylation factor 5
P84089	Erh	Enhancer of rudimentary homolog
P84091	Ap2m1;Clapm1	AP-2 complex subunit mu
P84096	Rhog;Arhg;Sid10750	Rho-related GTP-binding protein RhoG
P84104-2	Srsf3	Isoform Short of Serine/arginine-rich splicing factor 3
P84228	Hist1h3b;H3-53;H3.2;H3b;Hist1h3c;H3-143;Hist1h3d;H3-B;Hist1h3e;H3-F;Hist1h3f;H3.2-221	Histone H3.2
P97300	Nptn;Sdfr1;Sdr1	Neuroplastin
P97300-3	Nptn	Isoform 3 of Neuroplastin
P97333	Nrp1;Nrp	Neuropilin-1
P97351	Rps3a;Rps3a1	40S ribosomal protein S3a
P97352	S100a13	Protein S100-A13
P97370	Atp1b3	Sodium/potassium-transporting ATPase subunit beta-3
P97372	Psme2;Pa28b1	Proteasome activator complex subunit 2
P97377-2	Cdk2	Isoform CDK2-alpha of Cyclin-dependent kinase 2
P97379-2	G3bp2	Isoform B of Ras GTPase-activating protein-binding protein 2
P97390	Vps45;Vps45a	Vacuolar protein sorting-associated protein 45
P97406	D17H6S56E-5;G7e	Proviral envelope protein
P97427	Crmp1;Dpysl1;Ulip3	Dihydropyrimidinase-related protein 1
P97429	Anxa4;Anx4	Annexin A4
P97447	Fhl1	Four and a half LIM domains protein 1
P97449	Anpep;Lap-1;Lap1	Aminopeptidase N
P97450	Atp5j	ATP synthase-coupling factor 6, mitochondrial
P97457	Mylpf	Myosin regulatory light chain 2, skeletal muscle isoform
P97461	Rps5	40S ribosomal protein S5
P97496	Smarcc1;Baf155;Srg3	SWI/SNF complex subunit SMARCC1
P97524	Slc27a2;Acsvl1;Facvl1;Fatp2;Vlacs;Vlcs	Very long-chain acyl-CoA synthetase
P97526	Nf1	Neurofibromin
P97570	Pla2g6;Pnpla9	85/88 kDa calcium-independent phospholipase A2
P97571	Capn1;Cls1	Calpain-1 catalytic subunit
P97582	Ank2	Ankyrin
P97595	RMCP-9	Mast cell protease 9
P97700	Slc25a11;Slc20a4	Mitochondrial 2-oxoglutarate/malate carrier protein
P97742	Cpt1a;Cpt-1;Cpt1	Carnitine O-palmitoyltransferase 1, liver isoform
P97792	Cxadr;Car	Coxsackievirus and adenovirus receptor homolog
P97797	Sirpa;Bit;Myd1;Ptpns1;Shps1;Sirp	Tyrosine-protein phosphatase non-receptor type substrate 1
P97852	Hsd17b4;Edh17b4	Peroxisomal multifunctional enzyme type 2
P97855	G3bp1;G3bp	Ras GTPase-activating protein-binding protein 1
P99024	Tubb5	Tubulin beta-5 chain
P99027	Rplp2	60S acidic ribosomal protein P2
P99029	Prdx5;Prdx6	Peroxiredoxin-5, mitochondrial
Q00495	Csf1r;Csfmr;Fms	Macrophage colony-stimulating factor 1 receptor
Q00560	Il6st	Interleukin-6 receptor subunit beta
Q00610	CLTC;CLH17;CLTCL2;KIAA0034	Clathrin heavy chain 1
Q00623	Apoa1	Apolipoprotein A-I ; Truncated apolipoprotein A-I
Q00960	Grin2b	Glutamate receptor ionotropic, NMDA 2B
Q01149	Col1a2;Cola2	Collagen alpha-2
Q01205	Dlst	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial
Q01279	Egfr	Epidermal growth factor receptor
Q01320	Top2a;Top-2;Top2	DNA topoisomerase 2-alpha
Q01338	Adra2a	Alpha-2A adrenergic receptor
Q01405	Sec23a;Sec23;Sec23r	Protein transport protein Sec23A
Q01721	Gas1;Gas-1	Growth arrest-specific protein 1
Q01768	Nme2	Nucleoside diphosphate kinase B
Q01853	Vcp	Transitional endoplasmic reticulum ATPase
Q01970	PLCB3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3
Q02013	Aqp1	Aquaporin-1
Q02053	Uba1;Sbx;Ube1;Ube1ax;Ube1x	Ubiquitin-like modifier-activating enzyme 1
Q02218	OGDH	2-oxoglutarate dehydrogenase, mitochondrial
Q02248	Ctnnb1;Catnb	Catenin beta-1
Q02257	Jup	Junction plakoglobin
Q02338	BDH1;BDH	D-beta-hydroxybutyrate dehydrogenase, mitochondrial
Q02357-5	Ank1	Isoform 5 of Ankyrin-1
Q02809	PLOD1;LLH;PLOD	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
Q03145	Epha2;Eck;Myk2;Sek2	Ephrin type-A receptor 2
Q03265	Atp5a1	ATP synthase subunit alpha, mitochondrial
Q03401	Crisp1;Aeg-1;Aeg1	Cysteine-rich secretory protein 1
Q03958	Pfdn6;H2-Ke2;Pfd6	Prefoldin subunit 6
Q04101	NA	Protein phosphatase-1b
Q04447	Ckb;Ckbb	Creatine kinase B-type
Q04586	Mela;H52	Env polyprotein
Q04690	Nf1	Neurofibromin
Q04692	Smarcad1;Etl1;Kiaa1122	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1
Q04736	Yes1;Yes	Tyrosine-protein kinase Yes
Q04857	Col6a1	Collagen alpha-1 chain
Q04899	Cdk18;Pctaire3;Pctk3	Cyclin-dependent kinase 18
Q04917	YWHAH;YWHA1	14-3-3 protein eta
Q05087	NA	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
Q05144	Rac2	Ras-related C3 botulinum toxin substrate 2
Q05546	Tnr	Tenascin-R
Q05764	Add2	Beta-adducin
Q05769	Ptgs2;Cox-2;Cox2;Pghs-b;Tis10	Prostaglandin G/H synthase 2
Q05793	Hspg2	Basement membrane-specific heparan sulfate proteoglycan core protein
Q05909	Ptprg	Receptor-type tyrosine-protein phosphatase gamma
Q05CJ5	Atp2b1	Atp2b1 protein
Q05D44	Eif5b;If2	Eukaryotic translation initiation factor 5B
Q06185	Atp5i;Atp5k;Lfm-1;Lfm1	ATP synthase subunit e, mitochondrial
Q06647	Atp5o	ATP synthase subunit O, mitochondrial
Q06831	Sox4;Sox-4	Transcription factor SOX-4
Q07009	Capn2	Calpain-2 catalytic subunit
Q07020	RPL18	60S ribosomal protein L18
Q07021	C1QBP;GC1QBP;HABP1;SF2P32	Complement component 1 Q subcomponent-binding protein, mitochondrial
Q07065	CKAP4	Cytoskeleton-associated protein 4
Q07076	Anxa7;Anx7	Annexin A7
Q07310	Nrxn3	Neurexin-3
Q07797	Lgals3bp;Cycap;Mama	Galectin-3-binding protein
Q07813	Bax	Apoptosis regulator BAX
Q08091-2	Cnn1	Isoform Beta of Calponin-1
Q08093	Cnn2	Calponin-2
Q08163	Cap1;Cap;Mch1	Adenylyl cyclase-associated protein 1
Q08331	Calb2	Calretinin
Q08501-1	Prlr 	Prolactin receptor
Q08642	Padi2;Pdi;Pdi2	Protein-arginine deiminase type-2
Q08857	Cd36	Platelet glycoprotein 4
Q08877	Dnm3;Dyn3	Dynamin-3
Q09098	Pate4;Svs7	Prostate and testis expressed protein 4
Q09143	Slc7a1;Atrc1;Rec-1	High affinity cationic amino acid transporter 1
Q0GNC1-3	Inf2	Isoform 2 of Inverted formin-2
Q0PD56	Rab5b;Rab5B	Rab5B
Q0VF22	Ccdc138	Coiled-coil domain-containing protein 138
Q0VF58	Col19a1	Collagen alpha-1
Q0VG47	Hnrnpa3;Hnrpa3;mCG_1305;mCG_48756	Heterogeneous nuclear ribonucleoprotein A3
Q0VGN5	BC094435	BC094435 protein
Q10758	Krt8;Krt2-8	Keratin, type II cytoskeletal 8
Q11011	Npepps;Psa	Puromycin-sensitive aminopeptidase
Q12931	TRAP1;HSP75	Heat shock protein 75 kDa, mitochondrial
Q13151	HNRNPA0;HNRPA0	Heterogeneous nuclear ribonucleoprotein A0
Q13200	PSMD2;TRAP2	26S proteasome non-ATPase regulatory subunit 2
Q13283	G3BP1;G3BP	Ras GTPase-activating protein-binding protein 1
Q13586	STIM1;GOK	Stromal interaction molecule 1
Q13724	MOGS;GCS1	Mannosyl-oligosaccharide glucosidase
Q14204	DYNC1H1;DHC1;DNCH1;DNCL;DNECL;DYHC;KIAA0325	Cytoplasmic dynein 1 heavy chain 1
Q14257	RCN2;ERC55	Reticulocalbin-2
Q14318	FKBP8;FKBP38	Peptidyl-prolyl cis-trans isomerase FKBP8
Q14573	ITPR3	Inositol 1,4,5-trisphosphate receptor type 3
Q14697	GANAB;G2AN;KIAA0088	Neutral alpha-glucosidase AB
Q14974	KPNB1;NTF97	Importin subunit beta-1
Q15006	EMC2;KIAA0103;TTC35	ER membrane protein complex subunit 2
Q15046	KARS;KIAA0070	Lysine--tRNA ligase
Q15149	PLEC;PLEC1	Plectin
Q15436	SEC23A	Protein transport protein Sec23A
Q16698	DECR1;DECR	2,4-dienoyl-CoA reductase, mitochondrial
Q16795	NDUFA9;NDUFS2L	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
Q16822	PCK2;PEPCK2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial
Q1KYL9	NA	Gag-pro-pol polyprotein
Q1WIL9	Cadm1	Nectin-like 2
Q20BD0	Hnrnpab;Hnrpab;mCG_6983	Heterogeneous nuclear ribonucleoprotein A/B
Q2TBE6	Pi4k2a	Phosphatidylinositol 4-kinase type 2-alpha
Q31125	Slc39a7;H2-Ke4;Hke4	Zinc transporter SLC39A7
Q32Q06	Ap1m1	AP-1 complex subunit mu-1
Q3SWS8	Rae1;Mrnp41	mRNA export factor
Q3T9E5	Ncstn	Putative uncharacterized protein
Q3TC33-1	Ccdc127 	Coiled-coil domain-containing protein 127
Q3TC33-2	Ccdc127	Isoform 2 of Coiled-coil domain-containing protein 127
Q3TCJ8	Ccdc69;D11Ertd461e	Coiled-coil domain-containing protein 69
Q3TDN2-2	Faf2	Isoform 2 of FAS-associated factor 2
Q3TDQ1	Stt3b;Simp	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B
Q3TF72	P4hb	Protein disulfide-isomerase
Q3TFD0	Shmt2	Serine hydroxymethyltransferase
Q3TFD2	Lpcat1;Aytl2	Lysophosphatidylcholine acyltransferase 1
Q3TFQ1	Spryd7;Clld6	SPRY domain-containing protein 7
Q3TGW2	Eepd1;Kiaa1706	Endonuclease/exonuclease/phosphatase family domain-containing protein 1
Q3THE2	Myl12b;Mrlc2;Mylc2b	Myosin regulatory light chain 12B
Q3THK7	Gmps	GMP synthase [glutamine-hydrolyzing]
Q3TI53	Schip1	Schwannomin-interacting protein 1
Q3TIV5-1	Zc3h15 	Zinc finger CCCH domain-containing protein 15
Q3TIV5-2	Zc3h15	Isoform 2 of Zinc finger CCCH domain-containing protein 15
Q3TKT4	Smarca4;Baf190a;Brg1;Snf2b;Snf2l4	Transcription activator BRG1
Q3TLH4-2	Puf60	Protein PRRC2C
Q3TLH4-3	Aak1	Protein PRRC2C
Q3TMF5	NA	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial
Q3TPJ5	Exd2;Exdl2	Putative uncharacterized protein
Q3TUD9	Tmem18	Transmembrane protein 18
Q3TWI9	Tmem63b	CSC1-like protein 2
Q3TXJ4	Sar1a;Sara1	Putative uncharacterized protein
Q3TXS7	Psmd1	26S proteasome non-ATPase regulatory subunit 1
Q3TZZ7-1	Esyt2 	Extended synaptotagmin-2
Q3U1F9	Pag1;Cbp;Pag	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
Q3U1H7	Snx18;Snag1	Sorting nexin
Q3U1J4	Ddb1	DNA damage-binding protein 1
Q3U382	Ptprc	Putative uncharacterized protein
Q3U4I5	Itgam	Putative uncharacterized protein
Q3U6Q5	Lyn	Yamaguchi sarcoma viral  oncogene homolog
Q3U7R1	Esyt1;Fam62a;Mbc2	Extended synaptotagmin-1
Q3U7R1-1	Esyt1 	Extended synaptotagmin-1
Q3U9G9	Lbr	Lamin-B receptor
Q3UA06	Trip13;Pch2	Pachytene checkpoint protein 2 homolog
Q3UA21	Stx6	Putative uncharacterized protein
Q3UBX0	Tmem109	Transmembrane protein 109
Q3UDE2	Ttll12	Tubulin--tyrosine ligase-like protein 12
Q3UDW8	Hgsnat;D8Ertd354e;Tmem76	Heparan-alpha-glucosaminide N-acetyltransferase
Q3UEB3-2	Dtx3l	Isoform 2 of Poly(U)-binding-splicing factor PUF60
Q3UEB3-3	Puf60	Isoform 3 of Poly(U)-binding-splicing factor PUF60
Q3UF78	Map1b;Mtap1b	Putative uncharacterized protein
Q3UFY0	Rrp36	Ribosomal RNA processing protein 36 homolog
Q3UHJ0-2	NA	Isoform 2 of AP2-associated protein kinase 1
Q3UHK6	Tenm4;Doc4;Kiaa1302;Odz4;Tnm4	Teneurin-4
Q3UHR0	Bahcc1;Kiaa1447	BAH and coiled-coil domain-containing protein 1
Q3UHU5	Mtcl1;Ccdc165;Kiaa0802;Soga2	Microtubule cross-linking factor 1
Q3UHX2	Pdap1	28 kDa heat- and acid-stable phosphoprotein
Q3UIR3-2	NA	Isoform 2 of E3 ubiquitin-protein ligase DTX3L
Q3UIU2	Ndufb6;Gm137	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
Q3UJU9	Rmdn3;Fam82a2;Fam82c	Regulator of microtubule dynamics protein 3
Q3UKC1	Tax1bp1	Tax1-binding protein 1 homolog
Q3UL36-1	Arglu1 	Arginine and glutamate-rich protein 1
Q3UL78	Cdc42	Putative uncharacterized protein
Q3ULB5	Pak6	Serine/threonine-protein kinase PAK 6
Q3UMF0-3	Cobll1	Isoform 3 of Cordon-bleu protein-like 1
Q3UMR5	Mcu;Ccdc109a	Calcium uniporter protein, mitochondrial
Q3UMR5-1	Mcu 	Calcium uniporter protein, mitochondrial
Q3UMR5-2	Mcu	Isoform 2 of Calcium uniporter protein, mitochondrial
Q3UMT1	Ppp1r12c;Mbs85	Protein phosphatase 1 regulatory subunit 12C
Q3UMU9-2	Hdgfrp2	Isoform 2 of Hepatoma-derived growth factor-related protein 2
Q3UPY5	Glb1l2	Beta-galactosidase-1-like protein 2
Q3URD3-3	Slmap	Isoform 3 of Sarcolemmal membrane-associated protein
Q3UU96-2	Cdc42bpa	Isoform 2 of Serine/threonine-protein kinase MRCK alpha
Q3UV17	Krt76	Keratin, type II cytoskeletal 2 oral
Q3UVK0-1	Ermp1 	Endoplasmic reticulum metallopeptidase 1
Q3UZ01-2	Rnpc3	Isoform 2 of RNA-binding protein 40
Q3V0C5	Usp48;Kiaa4202	Ubiquitin carboxyl-terminal hydrolase 48
Q3V132	Slc25a31;Aac4;Ant4;Sfec	ADP/ATP translocase 4
Q3V3I2	Gnat3	Guanine nucleotide-binding protein G
Q3V3R1	Mthfd1l;Fthfsdc1	Monofunctional C1-tetrahydrofolate synthase, mitochondrial
Q3ZCQ8	TIMM50;TIM50;PRO1512	Mitochondrial import inner membrane translocase subunit TIM50
Q402U7	Prss44;Tessp4	Serine protease 44
Q4FJP3	Nras	Nras protein
Q4FK06	Icam1	Icam1 protein
Q4KL41	Tomm20;mCG_10089;mCG_114456	MCG10089
Q4KWH5-2	Plch1	Isoform 2 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1
Q4PZA2	Ece1	Endothelin-converting enzyme 1
Q4QRL3-2	Ccdc88b	Isoform 2 of Coiled-coil domain-containing protein 88B
Q4U4S6	Xirp2;Cmya3;Xin2	Xin actin-binding repeat-containing protein 2
Q4VA53	Pds5b;Aprin;As3;Kiaa0979	Sister chromatid cohesion protein PDS5 homolog B
Q501J6-1	Ddx17 	Probable ATP-dependent RNA helicase DDX17
Q52KB6	C2cd3;Hty	C2 domain-containing protein 3
Q52KG5	Kif26a;Kiaa1236	Kinesin-like protein KIF26A
Q52KI8-2	Srrm1	Isoform 2 of Serine/arginine repetitive matrix protein 1
Q53GQ0	HSD17B12	Estradiol 17-beta-dehydrogenase 12
Q545Y5	Cd74;Ii;mCG_6027	CD74 antigen
Q569Z6	Thrap3;Trap150	Thyroid hormone receptor-associated protein 3
Q5BJF5	SHMT2	Serine hydroxymethyltransferase
Q5CZY9	Rps16;Gm10079	Rps16 protein
Q5DU51	mKIAA0046	MKIAA0046 protein
Q5EBP8	Hnrnpa1;Hnrpa1	Heterogeneous nuclear ribonucleoprotein A1
Q5F226	Fat2;Fath2;Kiaa0811	Protocadherin Fat 2
Q5F285	Tmem256	Transmembrane protein 256
Q5F2E8	Taok1;Kiaa1361	Serine/threonine-protein kinase TAO1
Q5FVI6	Atp6v1c1	V-type proton ATPase subunit C 1
Q5HZA3	Zcchc12	Zinc finger CCHC domain-containing protein 12
Q5I012-4	Slc38a10	Isoform 4 of Putative sodium-coupled neutral amino acid transporter 10
Q5I0D6	Nostrin	Nostrin
Q5M7U6	Actr2;Arp2	Actin-related protein 2
Q5M964	Fh;Fh1;rCG_20230	Fumarate hydratase 1
Q5M9J7	NA	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial
Q5NCB5	Irgm1	Immunity-related GTPase family M protein 1
Q5NCQ5	Dph1;Dph2l1;Ovca1	Diphthamide biosynthesis protein 1
Q5ND29	Rilp	Rab-interacting lysosomal protein
Q5PRF0-1	Heatr5a 	HEAT repeat-containing protein 5A
Q5RJG1	Nol10;Gm67	Nucleolar protein 10
Q5RJY4	Dhrs7b	Dehydrogenase/reductase SDR family member 7B
Q5RKP4	Rpn1	Rpn1 protein
Q5RL79	Krtcap2	Keratinocyte-associated protein 2
Q5S006	Lrrk2	Leucine-rich repeat serine/threonine-protein kinase 2
Q5SNZ0-3	Ccdc88a	Isoform 3 of Girdin
Q5SQB0	Npm1	Nucleophosmin
Q5SS83	Flot2;mCG_10827	Flotillin 2, isoform CRA_a
Q5SSE9-1	Abca13 	ATP-binding cassette sub-family A member 13
Q5SUF2-1	Luc7l3 	Luc7-like protein 3
Q5SUH2	NA	NADH-ubiquinone oxidoreductase 75 kDa subunit
Q5SW88	Rab1	Ras-related protein Rab-1A
Q5SXY0	NA	Cytospin-B
Q5SXY1	Specc1;Cytsb;Kiaa4061	Cytospin-B
Q5SXY1-2	Specc1	Isoform 2 of Cytospin-B
Q5SXY1-3	Specc1	Isoform 4 of Cytospin-B
Q5SYD0	Myo1d	Unconventional myosin-Id
Q5SYD0-1	Myo1d 	Unconventional myosin-Id
